,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Novopokrovka,49.8425,36.5477,273.15,80,0,2.0,UA,1617142630
1,Torbay,47.6666,-52.7314,271.48,54,75,7.2,CA,1617142630
2,Saint-Pierre,-21.3393,55.4781,299.15,73,0,2.57,RE,1617142631
3,Lata,40.1629,-8.3327,292.15,45,0,2.06,PT,1617142631
4,Busselton,-33.65,115.3333,287.04,96,51,2.19,AU,1617142631
5,Rikitea,-23.1203,-134.9692,299.05,71,7,6.42,PF,1617142632
6,Hithadhoo,-0.6,73.0833,301.71,76,75,8.32,MV,1617142632
7,Kaitangata,-46.2817,169.8464,286.46,95,97,1.85,NZ,1617142632
8,Saýat,38.7839,63.8803,279.15,75,0,2.06,TM,1617142632
9,Aksu,41.1231,80.2644,280.18,65,92,3.06,CN,1617142633
10,Aklavik,68.2191,-135.0107,256.15,71,90,2.57,CA,1617142633
11,Charyshskoye,51.3978,83.5598,263.04,92,79,1.71,RU,1617142633
12,Buckeye,33.3703,-112.5838,304.26,7,0,2.57,US,1617142429
13,Elektrogorsk,55.8794,38.7919,275.15,93,90,6.0,RU,1617142634
14,Chipinge,-20.1883,32.6236,286.1,79,96,1.78,ZW,1617142634
15,Mataura,-46.1927,168.8643,287.59,98,94,1.34,NZ,1617142635
16,Lebu,-37.6167,-73.65,288.19,86,12,5.02,CL,1617142635
17,Bluff,-46.6,168.3333,287.59,98,29,1.34,NZ,1617142635
18,Port Elizabeth,-33.918,25.5701,290.15,88,0,6.69,ZA,1617142635
19,Atuona,-9.8,-139.0333,300.21,77,95,8.54,PF,1617142636
20,Poum,-20.2333,164.0167,299.27,72,95,4.31,NC,1617142636
21,Qaanaaq,77.484,-69.3632,253.83,71,98,2.87,GL,1617142636
22,Nizwá,22.9333,57.5333,299.42,19,0,1.81,OM,1617142637
23,Praia da Vitória,38.7333,-27.0667,288.71,94,75,3.57,PT,1617142637
24,Mayumba,-3.432,10.6554,298.26,88,100,2.09,GA,1617142637
25,Butaritari,3.0707,172.7902,301.11,78,96,8.06,KI,1617142637
26,Cape Town,-33.9258,18.4232,290.37,94,0,1.54,ZA,1617142134
27,Ponta do Sol,32.6667,-17.1,288.71,74,25,2.24,PT,1617142638
28,Udachny,66.4167,112.4,258.91,95,100,5.28,RU,1617142638
29,Payyanur,12.1,75.2,299.3,82,46,2.64,IN,1617142638
30,Punta Arenas,-53.15,-70.9167,284.15,54,0,4.12,CL,1617142639
31,Khatanga,71.9667,102.5,235.67,99,62,2.98,RU,1617142639
32,Vaini,-21.2,-175.2,303.15,79,20,4.12,TO,1617142639
33,Port Hedland,-20.3167,118.5667,296.15,64,0,3.09,AU,1617142640
34,Coquimbo,-29.9533,-71.3436,289.15,77,0,4.63,CL,1617142450
35,Bengkulu,-3.8004,102.2655,296.68,88,100,1.76,ID,1617142640
36,Dubbo,-32.25,148.6167,287.15,82,0,4.12,AU,1617142384
37,Iskateley,67.6803,53.1512,273.69,97,100,7.78,RU,1617142640
38,Albany,42.6001,-73.9662,289.26,28,40,1.79,US,1617142641
39,Bethel,41.3712,-73.414,287.15,33,1,5.66,US,1617142571
40,Arraial do Cabo,-22.9661,-42.0278,297.15,94,75,6.17,BR,1617142641
41,Husavik,66.0449,-17.3389,273.15,69,75,2.06,IS,1617142641
42,Puerto Baquerizo Moreno,-0.9,-89.6,301.15,83,40,3.6,EC,1617142642
43,Saint-Augustin,51.226,-58.6502,265.4,81,46,2.78,CA,1617142642
44,Saint George,37.1041,-113.5841,288.15,10,1,2.53,US,1617142514
45,Grand Gaube,-20.0064,57.6608,298.71,77,96,2.24,MU,1617142643
46,Davila,18.4726,120.5763,295.15,94,20,1.54,PH,1617142643
47,Surazh,53.0175,32.3918,278.58,90,100,7.31,RU,1617142643
48,Gore,-46.1028,168.9436,287.59,98,96,1.34,NZ,1617142643
49,Straumen,63.8709,11.2999,278.15,75,75,3.6,NO,1617142644
50,Aran,40.6253,46.9756,280.15,87,75,1.03,AZ,1617142644
51,Mahébourg,-20.4081,57.7,296.15,94,40,3.6,MU,1617142586
52,Rawson,-43.3002,-65.1023,296.35,37,99,10.16,AR,1617142645
53,Karksi-Nuia,58.1033,25.5628,280.15,93,90,5.66,EE,1617142645
54,Blatná,49.4249,13.8818,285.37,76,0,0.89,CZ,1617142645
55,Katsuura,35.1333,140.3,289.82,88,55,5.88,JP,1617142645
56,Tahoua,14.8888,5.2692,301.15,6,9,3.09,NE,1617142646
57,Castro,-24.7911,-50.0119,288.63,97,79,1.21,BR,1617142646
58,Jamestown,42.097,-79.2353,292.15,24,1,6.17,US,1617142646
59,Yar-Sale,66.8333,70.8333,250.65,88,100,4.71,RU,1617142647
60,Edgewater,28.9889,-80.9023,299.26,78,40,5.14,US,1617142647
61,Kita,13.0349,-9.4895,304.35,8,18,1.72,ML,1617142647
62,Northfield,44.4583,-93.1616,277.15,41,90,10.29,US,1617142497
63,Bandar-e Lengeh,26.5579,54.8807,296.15,94,1,4.12,IR,1617142648
64,Haines Junction,60.7522,-137.5108,279.15,39,100,4.12,CA,1617142648
65,Margate,51.3813,1.3862,286.48,61,0,2.23,GB,1617142648
66,Hilo,19.7297,-155.09,300.15,61,90,2.06,US,1617142359
67,Kapaa,22.0752,-159.319,300.15,69,75,5.66,US,1617142649
